month,price
8/27/2018,0
8/21/2018,0
8/20/2018,1
8/13/2018,3
8/7/2018,0
8/3/2018,0
7/29/2018,0
7/25/2018,0
7/21/2018,0
7/12/2018,0
6/26/2018,0
6/15/2018,0
5/30/2018,0
5/17/2018,0
